Age,Attrition,DistanceFromHome,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,Dept_Human Resources,Dept_Research & Development,Dept_Sales,EduField_Human Resources,EduField_Life Sciences,EduField_Marketing,EduField_Medical,EduField_Other,EduField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,Divorced,Married,Single
41,1,1,2,0,3,2,4,5993,1,8,1.0,6.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
49,0,8,3,1,2,2,2,5130,0,10,3.0,10.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37,1,2,4,1,2,1,3,2090,1,7,3.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
33,0,3,4,0,3,1,3,2909,1,8,3.0,8.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
27,0,2,1,1,3,1,2,3468,0,6,3.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
32,0,2,4,1,3,1,4,3068,0,8,2.0,7.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
59,0,3,3,0,4,1,1,2670,1,12,2.0,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
30,0,24,4,1,3,1,3,2693,0,1,3.0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
38,0,23,4,1,2,3,3,9526,0,10,3.0,9.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
36,0,27,3,1,3,2,3,5237,0,17,2.0,7.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
35,0,16,1,1,4,1,2,2426,0,6,3.0,5.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
29,0,15,4,0,2,2,3,4193,1,10,3.0,9.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
31,0,26,1,1,3,1,3,2911,0,5,2.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
34,0,19,2,1,3,1,4,2661,0,3,3.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
28,1,24,3,1,2,1,3,2028,1,6,3.0,4.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
29,0,21,2,0,4,3,1,9980,0,10,3.0,10.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
32,0,5,1,1,4,1,2,3298,1,7,2.0,6.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
22,0,16,4,1,4,1,4,2935,1,1,2.0,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
53,0,2,1,0,2,4,4,15427,0,31,3.0,25.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
38,0,2,4,1,3,1,4,3944,1,6,3.0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
24,0,11,1,0,4,2,3,4011,0,5,2.0,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
36,1,9,3,1,2,1,1,3407,0,10,3.0,5.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34,0,7,1,0,3,3,2,11994,0,13,3.0,12.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,0,15,3,1,3,1,4,1232,0,0,3.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
