Sum of Age,Attrition,BusinessTravel,Sum of DailyRate,Department,Sum of DistanceFromHome,Sum of Education,EducationField,Sum of EmployeeCount,EmployeeNumber,Sum of EnvironmentSatisfaction,Gender,Sum of HourlyRate,Sum of JobInvolvement,Sum of JobLevel,JobRole,Sum of JobSatisfaction,MaritalStatus,Sum of MonthlyIncome,Sum of MonthlyRate,Sum of NumCompaniesWorked,Over18,OverTime,Sum of PercentSalaryHike,Sum of PerformanceRating,Sum of RelationshipSatisfaction,Sum of StandardHours,Sum of StockOptionLevel,Sum of TotalWorkingYears,Sum of TrainingTimesLastYear,Sum of WorkLifeBalance,Sum of YearsAtCompany,Sum of YearsInCurrentRole,Sum of YearsSinceLastPromotion,Sum of YearsWithCurrManager
94,No,Non-Travel,2390,Human Resources,30,2,Human Resources,2,1375,4,Male,60,4,2,Sales Executive,2,Divorced,2018,22094,4,Y,No,22,6,8,160,0,32,2,4,0,8,0,10
88,No,Non-Travel,1630,Human Resources,24,6,Life Sciences,2,1016,4,Male,188,4,4,Sales Executive,6,Divorced,18954,43660,8,Y,No,28,6,8,160,2,46,2,4,12,10,10,8
102,No,Non-Travel,2186,Human Resources,10,8,Life Sciences,2,1821,4,Female,100,2,2,Sales Executive,6,Single,23492,29412,0,Y,No,30,6,8,160,2,22,4,2,24,8,2,8
64,No,Non-Travel,2546,Human Resources,16,8,Marketing,2,1330,8,Female,166,4,4,Laboratory Technician,6,Married,28432,51602,4,Y,No,34,6,6,160,4,32,6,4,22,2,4,6
70,No,Non-Travel,2920,Human Resources,14,4,Medical,2,764,4,Male,154,6,4,Laboratory Technician,8,Married,7514,22716,6,Y,Yes,34,6,4,160,6,8,4,8,24,8,8,0
98,No,Non-Travel,1436,Human Resources,24,8,Medical,2,1411,6,Female,122,6,2,Laboratory Technician,6,Single,2018,47776,10,Y,No,32,6,6,160,2,44,6,2,8,10,0,16
78,No,Non-Travel,1908,Research & Development,32,4,Life Sciences,2,1,6,Female,156,4,6,Sales Executive,2,Divorced,16292,34988,0,Y,No,28,6,6,160,0,24,2,6,8,4,0,8
114,No,Non-Travel,1580,Research & Development,32,10,Life Sciences,4,1,10,Female,232,12,8,Sales Executive,4,Married,62864,26758,8,Y,No,56,12,8,320,0,36,12,8,18,14,8,38
70,No,Non-Travel,1284,Research & Development,10,6,Life Sciences,2,1,2,Male,160,2,2,Sales Executive,8,Married,20666,50386,0,Y,No,34,6,2,160,4,30,8,6,24,6,6,14
108,No,Non-Travel,1118,Research & Development,32,2,Life Sciences,2,30,8,Female,200,6,4,Manager,2,Married,29900,19502,4,Y,No,26,6,4,160,0,40,4,4,2,20,8,14
