Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Non-Travel,562,Research & Development,-6,5,Marketing,1,461,3,Male,40,1,5,Sales Executive,4,Married,941,10206,4,Y,No,16,4,4,80,0,21,4,4,17,5,0,0
35,No,Travel_Rarely,-44,Human Resources,4,3,Medical,1,312,4,Male,66,2,4,Human Resources,1,Single,3571,4868,8,Y,Yes,12,4,3,80,2,8,1,3,3,3,-1,0
42,Yes,Travel_Rarely,528,Sales,0,3,Medical,1,973,2,Male,89,4,4,Sales Representative,4,Single,-1919,10013,3,Y,No,11,3,1,80,0,17,0,4,2,5,1,8
50,No,Non-Travel,833,Human Resources,27,2,Human Resources,1,1129,1,Female,81,4,1,Research Scientist,4,Married,11244,15873,5,Y,No,17,3,3,80,0,0,1,3,6,9,0,5
34,Yes,Non-Travel,656,Human Resources,14,2,Medical,1,2225,4,Male,64,4,1,Manager,2,Married,12486,19106,2,Y,Yes,15,4,2,80,0,0,3,1,10,1,0,0
34,Yes,Travel_Rarely,1596,Human Resources,8,2,Life Sciences,1,750,1,Male,45,3,5,Research Director,3,Single,4963,15464,6,Y,Yes,14,4,3,80,2,7,4,1,5,5,2,1
51,Yes,Travel_Rarely,810,Research & Development,15,4,Marketing,1,994,4,Male,69,2,5,Research Scientist,3,Single,5100,16781,8,Y,No,21,4,2,80,0,22,6,2,3,3,-2,0
43,Yes,Travel_Rarely,1066,Sales,18,2,Other,1,272,4,Male,51,2,3,Healthcare Representative,1,Married,8636,11914,4,Y,No,11,3,2,80,1,11,4,1,15,3,7,-2
32,No,Travel_Frequently,890,Sales,18,5,Medical,1,1393,4,Male,69,2,2,Manager,1,Married,13444,17845,0,Y,No,21,4,3,80,1,13,6,1,1,3,-1,5
41,Yes,Non-Travel,662,Human Resources,16,3,Human Resources,1,1264,4,Male,31,3,2,Laboratory Technician,1,Single,8426,24867,1,Y,Yes,15,4,3,80,3,13,2,3,16,8,5,3
