Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30,No,Travel_Rarely,1235,Sales,3,2,Marketing,1,1473,4,Female,43,2,2,Research Scientist,2,Single,6651,25487,3,Y,No,15,3,3,80,1,1,0,2,6,6,1,3
33,No,Travel_Rarely,640,Sales,7,1,Life Sciences,1,1,4,Female,76,2,3,Laboratory Technician,3,Married,8273,15503,0,Y,No,15,3,2,80,0,4,3,2,3,8,0,8
36,No,Travel_Rarely,1499,Research & Development,1,3,Life Sciences,1,1,1,Male,51,1,4,Laboratory Technician,2,Single,10959,7684,4,Y,No,11,3,2,80,0,9,3,2,4,1,4,7
41,No,Travel_Frequently,887,Sales,2,2,Technical Degree,1,1571,3,Male,82,3,2,Research Scientist,3,Single,1009,17679,2,Y,Yes,19,3,2,80,1,13,4,3,1,3,0,4
45,No,Travel_Rarely,931,Human Resources,14,3,Medical,1,764,2,Male,62,2,2,Sales Executive,3,Single,6102,19309,2,Y,No,14,3,3,80,0,18,3,1,0,2,0,8
40,No,Non-Travel,244,Research & Development,3,4,Medical,1,1,2,Female,63,3,2,Manufacturing Director,1,Single,6387,11150,6,Y,No,15,3,2,80,0,16,3,4,7,3,0,7
42,No,Travel_Rarely,1180,Research & Development,10,2,Medical,1,1281,3,Female,68,1,1,Human Resources,1,Married,11337,10600,4,Y,No,11,3,1,80,0,0,3,2,0,2,2,6
31,No,Non-Travel,1210,Research & Development,6,5,Marketing,1,1284,2,Female,72,3,1,Research Director,2,Divorced,5017,16457,0,Y,No,15,3,2,80,0,22,1,1,0,0,1,1
32,No,Travel_Rarely,1066,Research & Development,10,3,Other,1,1,2,Male,49,2,1,Laboratory Technician,3,Single,1087,18111,0,Y,No,11,3,3,80,2,5,3,3,18,4,4,0
29,No,Travel_Frequently,672,Research & Development,10,4,Human Resources,1,1613,4,Female,82,3,1,Manager,2,Married,6461,7012,0,Y,No,11,3,2,80,2,1,2,3,4,3,2,11
33,No,Travel_Rarely,1025,Sales,1,2,Life Sciences,1,1745,4,Male,100,2,1,Manager,3,Single,4660,19685,6,Y,No,13,3,3,80,0,6,2,2,2,8,0,2
39,No,Travel_Rarely,1499,Research & Development,17,3,Marketing,1,33,2,Male,41,1,3,Sales Executive,1,Single,12791,17921,0,Y,No,16,3,1,80,0,26,2,2,3,0,9,4
27,Yes,Travel_Rarely,657,Sales,1,3,Medical,1,689,1,Male,36,3,1,Manager,3,Single,11233,17583,0,Y,No,18,3,2,80,0,23,0,2,18,2,5,2
39,Yes,Travel_Frequently,1363,Human Resources,27,3,Life Sciences,1,1124,1,Female,89,2,2,Manager,4,Married,5849,3557,1,Y,No,14,3,1,80,1,8,0,2,13,9,0,2
41,No,Travel_Rarely,1183,Research & Development,4,2,Life Sciences,1,1857,4,Male,30,3,3,Laboratory Technician,4,Married,3119,23854,2,Y,No,22,3,2,80,2,17,4,2,0,0,0,13
31,No,Travel_Rarely,253,Human Resources,17,3,Technical Degree,1,1694,1,Male,47,3,1,Laboratory Technician,2,Married,4118,22832,0,Y,No,11,3,3,80,0,32,2,3,11,0,2,0
32,No,Travel_Frequently,1415,Research & Development,13,3,Medical,1,1488,2,Male,79,3,2,Research Scientist,4,Married,10500,18100,0,Y,No,15,3,1,80,1,5,1,3,0,9,3,6
49,No,Travel_Rarely,674,Research & Development,15,1,Other,1,293,2,Male,83,2,1,Laboratory Technician,3,Married,3406,3809,2,Y,Yes,11,3,3,80,1,24,1,4,12,4,5,4
36,No,Travel_Rarely,617,Research & Development,5,1,Medical,1,1797,1,Female,54,2,2,Sales Executive,2,Married,8126,20128,3,Y,No,16,3,3,80,1,16,4,1,7,11,3,5
48,No,Travel_Frequently,687,Research & Development,1,2,Human Resources,1,1097,1,Female,32,2,1,Research Scientist,4,Married,18495,12572,0,Y,No,21,3,2,80,1,3,2,3,0,0,0,1
40,No,Travel_Frequently,780,Sales,11,2,Medical,1,1185,1,Male,77,2,1,Sales Executive,1,Single,8607,18353,2,Y,No,11,3,2,80,0,5,4,1,15,0,6,1
46,No,Travel_Rarely,993,Research & Development,14,2,Technical Degree,1,1411,1,Male,66,1,1,Research Director,2,Single,1904,13315,1,Y,No,11,3,2,80,0,9,0,2,0,3,0,5
35,No,Travel_Rarely,882,Research & Development,10,4,Marketing,1,301,1,Female,88,2,1,Laboratory Technician,1,Married,3249,8067,4,Y,No,11,3,3,80,0,21,2,2,0,5,5,6
39,No,Travel_Rarely,1173,Research & Development,14,1,Medical,1,1302,3,Female,54,3,1,Sales Executive,3,Divorced,6997,7475,6,Y,No,20,3,2,80,0,0,5,3,15,3,0,0
47,No,Travel_Rarely,866,Research & Development,14,1,Technical Degree,1,1696,3,Male,88,3,1,Research Scientist,3,Married,9040,20096,3,Y,No,17,3,2,80,0,8,5,2,7,2,5,0
36,No,Travel_Rarely,696,Sales,5,1,Marketing,1,1,2,Female,73,2,1,Manufacturing Director,3,Married,9232,26118,2,Y,No,17,3,1,80,0,13,4,2,0,6,3,6
43,No,Travel_Frequently,766,Research & Development,4,3,Technical Degree,1,1559,1,Female,54,2,2,Manufacturing Director,3,Single,1009,16661,4,Y,No,11,3,1,80,1,14,1,2,1,1,2,0
48,No,Travel_Frequently,973,Research & Development,3,4,Medical,1,715,1,Male,87,2,1,Sales Representative,4,Married,9474,11601,5,Y,No,11,3,1,80,1,15,0,3,9,2,1,5
45,No,Travel_Rarely,600,Human Resources,1,3,Other,1,590,2,Male,55,2,1,Sales Executive,3,Divorced,10106,7954,3,Y,No,22,3,3,80,0,34,2,2,6,0,5,0
