Age,Attrition,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany
54,No,Research & Development,20,Life Sciences,3,Female,1,1,Laboratory Technician,1,Single,11374,No,12,3.0,7.0
39,Yes,Sales,5,Technical Degree,4,Male,3,2,Sales Representative,4,Married,2086,No,19,4.0,1.0
51,Yes,Research & Development,15,Marketing,4,Male,2,5,Research Scientist,3,Single,5100,No,22,2.0,3.0
22,No,Research & Development,2,Life Sciences,2,Female,3,2,Sales Executive,1,Divorced,6173,No,6,1.0,0.0
34,No,Research & Development,9,Medical,2,Female,3,2,Research Scientist,3,Divorced,4500,No,8,3.0,6.0
45,Yes,Human Resources,7,Marketing,2,Female,3,3,Manufacturing Director,1,Divorced,8450,No,9,4.0,4.0
29,No,Research & Development,15,Life Sciences,2,Female,4,4,Healthcare Representative,3,Single,1374,No,0,2.0,10.0
44,No,Sales,2,Life Sciences,2,Male,2,2,Research Scientist,1,Divorced,13849,No,21,3.0,5.0
50,No,Research & Development,19,Medical,3,Male,3,5,Manager,1,Married,3628,No,11,2.0,4.0
34,No,Sales,8,Life Sciences,3,Male,2,2,Manager,1,Married,1217,Yes,12,2.0,12.0
41,No,Human Resources,1,Human Resources,4,Male,2,5,Manager,3,Married,19189,No,22,3.0,22.0
42,No,Sales,7,Medical,2,Female,2,3,Research Scientist,1,Single,1009,No,2,2.0,0.0
34,No,Research & Development,26,Life Sciences,2,Male,2,1,Sales Executive,3,Divorced,10418,No,11,1.0,5.0
32,No,Research & Development,29,Medical,4,Female,3,1,Laboratory Technician,3,Single,4025,No,10,3.0,8.0
41,No,Sales,1,Life Sciences,3,Female,1,3,Manufacturing Director,2,Single,6227,No,15,2.0,2.0
29,Yes,Sales,13,Technical Degree,1,Female,3,2,Sales Executive,2,Single,5765,No,7,1.0,5.0
23,No,Human Resources,3,Medical,2,Male,2,2,Sales Executive,2,Single,1009,Yes,6,3.0,0.0
40,Yes,Human Resources,6,Marketing,2,Female,2,5,Sales Executive,3,Single,8701,Yes,11,4.0,12.0
30,Yes,Sales,7,Life Sciences,1,Female,1,3,Laboratory Technician,1,Married,10316,No,24,2.0,0.0
49,No,Sales,1,Medical,3,Male,2,2,Research Scientist,2,Married,17804,Yes,0,1.0,12.0
