Age,Attrition,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany
41,Yes,Sales,1,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,Yes,8,1.0,6.0
49,No,Research & Development,8,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,No,10,3.0,10.0
37,Yes,Research & Development,2,Other,4,Male,2,1,Laboratory Technician,3,Single,2090,Yes,7,3.0,0.0
33,No,Research & Development,3,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,Yes,8,3.0,8.0
27,No,Research & Development,2,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,No,6,3.0,2.0
32,No,Research & Development,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,No,8,2.0,7.0
59,No,Research & Development,3,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,Yes,12,2.0,1.0
30,No,Research & Development,24,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,No,1,3.0,1.0
38,No,Research & Development,23,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,No,10,3.0,9.0
36,No,Research & Development,27,Medical,3,Male,3,2,Healthcare Representative,3,Married,5237,No,17,2.0,7.0
35,No,Research & Development,16,Medical,1,Male,4,1,Laboratory Technician,2,Married,2426,No,6,3.0,5.0
29,No,Research & Development,15,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,4193,Yes,10,3.0,9.0
31,No,Research & Development,26,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,No,5,2.0,5.0
34,No,Research & Development,19,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,2661,No,3,3.0,2.0
28,Yes,Research & Development,24,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,Yes,6,3.0,4.0
29,No,Research & Development,21,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,No,10,3.0,10.0
32,No,Research & Development,5,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,3298,Yes,7,2.0,6.0
22,No,Research & Development,16,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,2935,Yes,1,2.0,1.0
53,No,Sales,2,Life Sciences,1,Female,2,4,Manager,4,Married,15427,No,31,3.0,25.0
38,No,Research & Development,2,Life Sciences,4,Male,3,1,Research Scientist,4,Single,3944,Yes,6,3.0,3.0
24,No,Research & Development,11,Other,1,Female,4,2,Manufacturing Director,3,Divorced,4011,No,5,2.0,4.0
36,Yes,Sales,9,Life Sciences,3,Male,2,1,Sales Representative,1,Single,3407,No,10,3.0,5.0
34,No,Research & Development,7,Life Sciences,1,Female,3,3,Research Director,2,Single,11994,No,13,3.0,12.0
21,No,Research & Development,15,Life Sciences,3,Male,3,1,Research Scientist,4,Single,1232,No,0,3.0,0.0
34,Yes,Research & Development,6,Medical,2,Male,3,1,Research Scientist,1,Single,2960,No,8,3.0,4.0
53,No,Research & Development,5,Other,3,Female,3,5,Manager,3,Divorced,19094,No,26,2.0,14.0
32,Yes,Research & Development,16,Life Sciences,2,Female,1,1,Research Scientist,1,Single,3919,Yes,10,3.0,10.0
42,No,Sales,8,Marketing,3,Male,3,2,Sales Executive,2,Married,6825,No,10,3.0,9.0
